text,label
ฉันไม่ชอบเลย,neg
มันแย่มาก,neg
รู้สึกเศร้า,neg
เสียใจสุดๆ,neg
แย่ที่สุด,neg
ประสบการณ์แย่มาก,neg
ไม่ประทับใจเลย,neg
โกรธมาก,neg
ผิดหวังสุดๆ,neg
มันแย่จริงๆ,neg
เศร้ามาก,neg
รู้สึกท้อแท้,neg
แย่เกินทน,neg
รู้สึกแย่มาก,neg
ห่วยแตก,neg
ไม่โอเคเลย,neg
ผิดหวังมาก,neg
แย่กว่าที่คิด,neg
รู้สึกเสียใจ,neg
เศร้าจนพูดไม่ออก,neg
โมโหมาก,neg
เกลียดสิ่งนี้,neg
ไม่อยากเจออีก,neg
โกรธจนพูดไม่ออก,neg
สุดจะทน,neg
มันน่าผิดหวัง,neg
แย่จนรับไม่ได้,neg
เสียความรู้สึก,neg
รู้สึกพัง,neg
ไม่ชอบเอาซะเลย,neg
เหนื่อยใจ,neg
เครียดมาก,neg
ทุกอย่างพังหมด,neg
มันเลวร้าย,neg
ผิดพลาดครั้งใหญ่,neg
เสียงดังน่ารำคาญ,neg
ไม่คุ้มเลย,neg
เสียเวลาเปล่า,neg
ไม่ได้อะไรเลย,neg
แย่เกินไป,neg
โกรธจนตัวสั่น,neg
ทำให้เครียด,neg
ไม่มีความสุข,neg
ผิดหวังจนร้องไห้,neg
รู้สึกหงุดหงิด,neg
ไม่ดีเลย,neg
มันพังหมดแล้ว,neg
รู้สึกว่าเสียใจ,neg
ไม่น่าเลย,neg
แย่แบบไม่ไหว,neg
